,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,42,43,44,45,46,47,48,49,5,50,51,52,53,6,7,8,9,malla,transplant_day,transplant_week
5,291.4,2702,1996.2,2200,2547.4,2078.6,1570,1063.2,738.2,641.2,0,0,0,0,,,,903.4,3323,,0,0,0,0,0,0,0,1224.2,0,0,0,0,466.4,2157.2,2594,2940.4,MALLA_1_A,349,51
6,0,2061.4,10058.2,3320.8,7882.6,6601.4,3082.8,13450,5198.8,10352.6,4592.8,0,4056.2,1255.4,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592.8,4380.6,MALLA_2_A_2DA,393,56
7,0,0,0,0,806.8,1992.6,786.8,2730.6,2040.4,3247.2,891.2,0,1792.4,511.4,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALLA_9_A_2DA,428,62
8,0,0,0,2361.4,3332.2,828.8,2710.4,2200.6,2575,1816.2,852.2,0,1939.2,935.8,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALLA_8_A_2DA,419,60
9,0,0,0,0,0,0,1282.6,2594.2,3854.6,804.8,4323.8,0,2149.4,1924.2,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALLA_5_A_2DA,437,63
10,0,1566,2616.4,2864.4,3101.2,1467.2,2972.2,1298.8,2653.6,2189.4,1985.8,0,1956,1082.8,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALLA_6_A_2DA,402,58
11,3202.6315789474,4330.3684210526,2634.9473684211,2467.5263157895,2834.8947368421,533.2105263158,0,0,0,200.9473684211,0,1697.1052631579,0,0,,,,3045.4736842105,3941.5263157895,,0,0,0,0,0,0,0,2724.3157894737,0,0,0,597.5789473684,1043.4736842105,3361.5789473684,3326.4736842105,1704.9473684211,MALLA_3_I,305,45
12,0,2515.7777777778,3426.8333333333,1648.3333333333,4799.3333333333,2076.9444444445,1991.0555555556,2408.8333333333,2416.2777777778,2629.4444444445,1927.5,0,805.6111111111,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387.6111111111,1719.8888888889,MALLA_3_G,354,52
13,1410.96,3428,2492.8,2744.24,3865.44,2449.6,0,0,0,0,0,3000.16,0,0,,,,2617.36,2651.76,,0,0,0,0,0,0,0,4107.76,0,0,0,0,1405.68,2546.32,2678.72,2675.28,MALLA_4_I,319,47
14,979.8333333333,2380.5555555556,1731.1111111111,1905.7222222222,2684.3333333333,1701.1111111111,0,0,0,0,0,2083.4444444445,0,0,,,,1817.6111111111,1841.5,,0,0,0,0,0,0,0,2852.6111111111,0,0,0,0,976.1666666667,1768.2777777778,1860.2222222222,1857.8333333333,MALLA_1_I,335,49
